class,学生数量,题目数量,平均正确率,平均得分,平均用时,方法多样性
Class1,96,38,0.22,0.81,3.875,5
Class10,84,38,0.25,0.916,14.279,5
Class11,96,38,0.282,0.944,10.901,5
Class12,95,38,0.313,1.139,12.886,5
Class13,91,38,0.234,0.865,12.236,5
Class14,80,38,0.259,0.936,12.865,5
Class15,81,38,0.278,0.958,11.363,5
Class2,92,38,0.296,1.116,3.925,5
Class3,109,38,0.276,0.925,3.865,5
Class4,86,38,0.254,0.877,3.794,5
Class5,84,38,0.225,0.85,3.987,5
Class6,98,38,0.191,0.711,12.404,5
Class7,98,38,0.256,0.954,11.456,5
Class8,100,38,0.206,0.752,10.465,5
Class9,74,38,0.265,0.916,8.145,5
