班级,学生数量,平均正确率,平均答题次数,平均用时
Class1,96,0.251,202.729,3.882
Class10,84,0.3,158.857,13.426
Class11,96,0.331,154.833,10.792
Class12,95,0.355,146.495,12.533
Class13,91,0.272,176.176,11.383
Class14,80,0.297,150.425,11.874
Class15,81,0.313,152.136,11.398
Class2,92,0.315,149.826,3.931
Class3,109,0.343,152.835,3.811
Class4,86,0.314,165.279,3.798
Class5,84,0.253,166.679,4.009
Class6,98,0.226,205.602,11.463
Class7,98,0.287,175.602,11.345
Class8,100,0.251,196.36,9.301
Class9,74,0.282,190.338,8.57
